place_id,name,lat,lng,address,source,num_shops,total_reviews,score_avg_rating,score_review_density,score_variety,score_hours,shop_quality_score,density_score,rz_avg,residential_coverage,zone_breakdown,population_500m,population_score,top_shops
actmapi_cz4_m35d23380_149d04032,Local Centre — Scullin,-35.23379687835929,149.0403197429613,"Scullin, ACT",actmapi_cz4,55,1194,5.0,4.6,9.17,5.96,6.57,2.79,1.396,0.733,"{""RZ1"": 285796, ""CF"": 53172, ""PRZ1"": 65875, ""TSZ1"": 36647, ""RZ2"": 182205, ""RZ4"": 1276, ""CZ4"": 15487}",1366,4.94,"[{""name"": ""Florentis Health"", ""rating"": 5, ""reviews"": 8}, {""name"": ""Timeless Tokens photography"", ""rating"": 5, ""reviews"": 7}, {""name"": ""Nan's Child Care Centre"", ""rating"": 5, ""reviews"": 3}]"
actmapi_cz4_m35d20087_149d06870,Local Centre — Spence,-35.20086796006795,149.06869897140436,"Spence, ACT",actmapi_cz4,16,34,4.73,0.0,5.83,6.64,4.55,2.0,1.0,0.718,"{""RZ1"": 460108, ""CF"": 30865, ""PRZ1"": 78661, ""TSZ2"": 29953, ""NUZ3"": 3497, ""TSZ1"": 37070, ""CZ4"": 613}",1114,4.02,"[{""name"": ""Stump'd Tree Services"", ""rating"": 5, ""reviews"": 3}, {""name"": ""Copland Dr Spence Terminus"", ""rating"": 5, ""reviews"": 1}, {""name"": ""Dimension Hair Studio"", ""rating"": 4.8, ""reviews"": 4}]"
actmapi_cz4_m35d37929_149d06626,Local Centre — Kambah,-35.37929279464258,149.06625599363295,"Kambah, ACT",actmapi_cz4,26,255,4.53,2.8,0.0,0.25,1.74,2.09,1.044,0.73,"{""RZ1"": 446100, ""CF"": 31188, ""PRZ1"": 76175, ""TSZ1"": 64381, ""RZ2"": 20324, ""CZ4"": 1145}",994,3.58,"[{""name"": ""Relentless Drum Lessons"", ""rating"": 5, ""reviews"": 17}, {""name"": ""Matthew J Webster"", ""rating"": 5, ""reviews"": 9}, {""name"": ""Solving Design"", ""rating"": 5, ""reviews"": 3}]"
actmapi_cz4_m35d50906_149d06671,Local Centre — Tharwa,-35.509059181235884,149.0667095989268,"Tharwa, ACT",actmapi_cz4,18,151,6.35,2.47,3.33,10.0,5.25,0.51,1.0,0.102,"{""RZ1"": 64809, ""CF"": 15259, ""NUZ3"": 283665, ""CZ4"": 2222, ""TSZ1"": 29089, ""NUZ4"": 243251}",12,0.01,"[{""name"": ""Nana's Pearls Antiques"", ""rating"": 5, ""reviews"": 1}, {""name"": ""Tharwa Community Hall"", ""rating"": 5, ""reviews"": 1}, {""name"": ""Southern ACT Volunteer bush fire Brigade, ACT Rural Fire Service"", ""rating"": 5, ""reviews"": 1}]"
actmapi_cz4_m35d44924_149d12166,Local Centre — Theodore,-35.44923562373185,149.12165681556942,"Theodore, ACT",actmapi_cz4,16,100,5.91,1.83,6.67,10.0,6.18,3.08,1.541,0.734,"{""RZ1"": 215468, ""CF"": 34739, ""PRZ1"": 77947, ""NUZ3"": 24135, ""TSZ1"": 28680, ""RZ2"": 253666, ""CZ4"": 4128}",1117,4.03,"[{""name"": ""Elfii"", ""rating"": 5, ""reviews"": 18}, {""name"": ""Twisted Tulips"", ""rating"": 5, ""reviews"": 5}, {""name"": ""Lawrence Wackett Cr after 1st Burdett Cr"", ""rating"": 5, ""reviews"": 1}]"
actmapi_cz4_m35d39292_149d05872,Local Centre — Kambah,-35.39291708841501,149.05872426296312,"Kambah, ACT",actmapi_cz4,14,27,5.7,0.0,0.0,8.05,3.04,2.0,1.0,0.77,"{""RZ1"": 492117, ""CF"": 14518, ""PRZ1"": 86446, ""TSZ1"": 43830, ""CZ4"": 2252}",944,3.4,"[{""name"": ""Apogee Roofing"", ""rating"": 5, ""reviews"": 13}, {""name"": ""Bronwyn Parsons Photography"", ""rating"": 4.5, ""reviews"": 13}, {""name"": ""Ortloff Playground"", ""rating"": 4, ""reviews"": 1}]"
actmapi_cz4_m35d35573_149d04042,Local Centre — Chapman,-35.35572708985569,149.04041917559124,"Chapman, ACT",actmapi_cz4,27,592,5.5,4.63,10.0,3.59,6.52,2.57,1.283,0.683,"{""DES"": 11201, ""RZ1"": 312969, ""CF"": 53205, ""PRZ1"": 58892, ""NUZ3"": 12917, ""TSZ1"": 59290, ""RZ2"": 123661, ""CZ4"": 7373}",1109,4.0,"[{""name"": ""Fixed"", ""rating"": 5, ""reviews"": 24}, {""name"": ""Noir Hair"", ""rating"": 5, ""reviews"": 6}, {""name"": ""Weston Creek Playgroups Association"", ""rating"": 5, ""reviews"": 1}]"
actmapi_cz4_m35d23146_149d02695,Local Centre — Higgins,-35.231460122599756,149.02695288965842,"Higgins, ACT",actmapi_cz4,33,323,5.58,2.8,8.33,6.64,6.2,2.25,1.124,0.659,"{""RZ1"": 369465, ""CF"": 50476, ""PRZ1"": 113611, ""TSZ1"": 33806, ""RZ2"": 52312, ""CZ4"": 20802}",1175,4.24,"[{""name"": ""Higgins Dental"", ""rating"": 5, ""reviews"": 107}, {""name"": ""CARM Therapies"", ""rating"": 5, ""reviews"": 48}, {""name"": ""Hudsons Catering"", ""rating"": 5, ""reviews"": 20}]"
actmapi_cz4_m35d22451_149d01131,Local Centre — Holt,-35.22450836990451,149.01130867990986,"Holt, ACT",actmapi_cz4,35,904,5.94,5.0,9.17,4.27,6.55,2.63,1.313,0.77,"{""RZ1"": 338787, ""CF"": 42515, ""PRZ1"": 69387, ""TSZ1"": 26597, ""RZ2"": 154208, ""CZ4"": 9098}",1385,5.01,"[{""name"": ""Front Row Plumbing & Gas"", ""rating"": 5, ""reviews"": 26}, {""name"": ""PullPush Driving School"", ""rating"": 5, ""reviews"": 20}, {""name"": ""UNO Hair Design"", ""rating"": 5, ""reviews"": 6}]"
actmapi_cz4_m35d47219_149d09563,Local Centre — Banks,-35.47219211394709,149.09563403936082,"Banks, ACT",actmapi_cz4,18,349,5.21,4.34,7.5,10.0,6.8,2.0,1.0,0.754,"{""RZ1"": 481412, ""PRZ1"": 111686, ""TSZ1"": 40913, ""CZ4"": 4703}",1629,5.9,"[{""name"": ""Capital To Coast Electrical"", ""rating"": 5, ""reviews"": 56}, {""name"": ""Banks neighbourhood Oval"", ""rating"": 4.6, ""reviews"": 5}, {""name"": ""Paw Bearers"", ""rating"": 4.5, ""reviews"": 22}]"
